Day,Activity,Category,Date,Month,Weekday,Start,End
65,"Technical Test ""isValidParentheses"" and ""MergeTwoSortedLists"" [LeetCode](https",LeetCode,2024-05-18,May,Saturday,2024-05-18,2024-05-19
66,Web Scraping Job Listings with Python,Web Development,2024-05-19,May,Sunday,2024-05-19,2024-05-20
67,[TensorFlow](https,Data Scientist (Kaggle),2024-05-20,May,Monday,2024-05-20,2024-05-21
68,"Recursion ""SierpinskiTriangle"" and ""FractalTree"".",Recursion,2024-05-21,May,Tuesday,2024-05-21,2024-05-22
69,Ticket management GUI,GUI,2024-05-22,May,Wednesday,2024-05-22,2024-05-23
70,Scientific GUI Calculator,GUI,2024-05-23,May,Thursday,2024-05-23,2024-05-24
71,"Technical Test ""generateParenthesis"" and ""mergeKLists"" [LeetCode](https",LeetCode,2024-05-24,May,Friday,2024-05-24,2024-05-25
72,Knight's Tour Problem Solver,Others,2024-05-25,May,Saturday,2024-05-25,2024-05-26
73,Tic-Tac-Toe Multiplayer [NeuralNine](https,Games,2024-05-26,May,Sunday,2024-05-26,2024-05-27
74,"Technical Test ""twoSum"" and ""myAtoi"" [LeetCode](https",LeetCode,2024-05-27,May,Monday,2024-05-27,2024-05-28
75,Spotify Songs Album [Kaggle](https,Data Scientist (Kaggle),2024-05-28,May,Tuesday,2024-05-28,2024-05-29
76,Bank Queue Management System,Others,2024-05-29,May,Wednesday,2024-05-29,2024-05-30
77,Inventory Management GUI,GUI,2024-05-30,May,Thursday,2024-05-30,2024-05-31
78,"Technical Test ""swapPairs"" and ""reverseKGroup"" [LeetCode](https",LeetCode,2024-05-31,May,Friday,2024-05-31,2024-06-01
79,Minesweeper GUI Pygame,GUI,2024-06-01,June,Saturday,2024-06-01,2024-06-02
80,Student Practice Management System,Others,2024-06-02,June,Sunday,2024-06-02,2024-06-03
81,Random Roulette,Others,2024-06-03,June,Monday,2024-06-03,2024-06-04
82,"Test Projects ""celsius_to_fahrenheit""",Others,2024-06-04,June,Tuesday,2024-06-04,2024-06-05
83,"Technical Test ""removeDuplicates"" and ""removeElement"" [LeetCode](https",LeetCode,2024-06-05,June,Wednesday,2024-06-05,2024-06-06
84,Complaint Management System,Others,2024-06-06,June,Thursday,2024-06-06,2024-06-07
85,Convert Word Files To PDF [NeuralNine](https,Others,2024-06-07,June,Friday,2024-06-07,2024-06-08
86,Goldner-Harary Graph in 3D,Others,2024-06-08,June,Saturday,2024-06-08,2024-06-09
87,Building Management System,Others,2024-06-09,June,Sunday,2024-06-09,2024-06-10
88,"Technical Test ""strStr"" and ""divide"" [LeetCode](https",LeetCode,2024-06-10,June,Monday,2024-06-10,2024-06-11
89,Dragon Ball Radar Animation with DBSCAN Clustering,Others,2024-06-11,June,Tuesday,2024-06-11,2024-06-12
90,Pong Game Development in Python,Games,2024-06-12,June,Wednesday,2024-06-12,2024-06-13
91,Flask-based Online Survey Application,GUI,2024-06-13,June,Thursday,2024-06-13,2024-06-14
92,Tower of Hanoi and N Queens Problem Solutions,Others,2024-06-14,June,Friday,2024-06-14,2024-06-15
93,Word Search Puzzle GUI,GUI,2024-06-15,June,Saturday,2024-06-15,2024-06-16
94,"Technical Test ""findSubstring"" and ""nextPermutation"" [LeetCode](https",LeetCode,2024-06-16,June,Sunday,2024-06-16,2024-06-17
95,PhishGuard - Anti-Phishing Email and Website Filter,Web Development,2024-06-17,June,Monday,2024-06-17,2024-06-18
96,World Clock GUI,GUI,2024-06-18,June,Tuesday,2024-06-18,2024-06-19
97,Pipelines for inference [🤗 Transformers](https,Others,2024-06-19,June,Wednesday,2024-06-19,2024-06-20
98,Vehicle Management System,Others,2024-06-20,June,Thursday,2024-06-20,2024-06-21
99,🌬️ Asthma Disease Dataset 🌬️ [Kaggle](https,Data Scientist (Kaggle),2024-06-21,June,Friday,2024-06-21,2024-06-22
100,🎮 2048 Game with Flask 🎮,GUI,2024-06-22,June,Saturday,2024-06-22,2024-06-23
101,"Technical Test ""longestValidParentheses"" and ""search"" [LeetCode](https",LeetCode,2024-06-23,June,Sunday,2024-06-23,2024-06-24
102,🍦 Object-Oriented Programming in Python with Ice Cream Example 🍦,OOP,2024-06-24,June,Monday,2024-06-24,2024-06-25
103,[TensorFlow](https,Data Scientist (Kaggle),2024-06-25,June,Tuesday,2024-06-25,2024-06-26
104,Battleship Game with Flask,GUI,2024-06-26,June,Wednesday,2024-06-26,2024-06-27
105,"Technical Test ""searchRange"" and ""searchInsert"" [LeetCode](https",LeetCode,2024-06-27,June,Thursday,2024-06-27,2024-06-28
106,Create a Multipage App with Streamlit [Streamlit Tutorial](https,Data Scientist (Kaggle),2024-06-28,June,Friday,2024-06-28,2024-06-29
107,Twenty One Card Game GUI,GUI,2024-06-29,June,Saturday,2024-06-29,2024-06-30
108,Character-Level Language Model with RNN,Others,2024-06-30,June,Sunday,2024-06-30,2024-07-01
109,PolarsVSPandas (Polars Is The Faster Pandas) [NeuralNine](https,Others,2024-07-01,July,Monday,2024-07-01,2024-07-02
110,"Technical Test ""isValidSudoku"" and ""solveSudoku"" [LeetCode](https",LeetCode,2024-07-02,July,Tuesday,2024-07-02,2024-07-03
111,Library Management System,Others,2024-07-03,July,Wednesday,2024-07-03,2024-07-04
112,Maze Generator and Solver,Others,2024-07-04,July,Thursday,2024-07-04,2024-07-05
113,Basketball Scoreboard in Flask,GUI,2024-07-05,July,Friday,2024-07-05,2024-07-06
114,Internet Speed Test Application,Others,2024-07-06,July,Saturday,2024-07-06,2024-07-07
115,Steganography Application using Flask,GUI,2024-07-07,July,Sunday,2024-07-07,2024-07-08
116,"Technical Test ""countAndSay"" and ""combinationSum"" [LeetCode](https",LeetCode,2024-07-08,July,Monday,2024-07-08,2024-07-09
117,"Recursion ""BinaryTreeExpressionEvaluator""",Recursion,2024-07-09,July,Tuesday,2024-07-09,2024-07-10
118,Shirt Store,Others,2024-07-10,July,Wednesday,2024-07-10,2024-07-11
119,Household Basket,Others,2024-07-11,July,Thursday,2024-07-11,2024-07-12
120,Copa America 2024 Groups [Dataset](https,Data Scientist (Kaggle),2024-07-12,July,Friday,2024-07-12,2024-07-13
121,"Technical Test ""combinationSum2"" and ""firstMissingPositive"" [LeetCode](https",LeetCode,2024-07-13,July,Saturday,2024-07-13,2024-07-14
122,"Recursion ""Knapsack""",Recursion,2024-07-14,July,Sunday,2024-07-14,2024-07-15
123,[TLC Trip Record Data](https,Others,2024-07-15,July,Monday,2024-07-15,2024-07-16
124,🏫 Object-Oriented Programming in Python with University Enrollment System 🏫,OOP,2024-07-16,July,Tuesday,2024-07-16,2024-07-17
125,"Technical Test ""trap"" and ""multiply"" [LeetCode](https",LeetCode,2024-07-17,July,Wednesday,2024-07-17,2024-07-18
126,Basketball Ground Using Turtle,Others,2024-07-18,July,Thursday,2024-07-18,2024-07-19
127,Employee Hours,Others,2024-07-19,July,Friday,2024-07-19,2024-07-20
128,"Recursion ""Letter Combinations""",Recursion,2024-07-20,July,Saturday,2024-07-20,2024-07-21
129,Pneumonia Detection Using Deep Learning,Others,2024-07-21,July,Sunday,2024-07-21,2024-07-22
130,"Technical Test ""WildcardisMatch"" and ""jump"" [LeetCode](https",LeetCode,2024-07-22,July,Monday,2024-07-22,2024-07-23
131,🐕 Dogs vs Cats 🐈 [Kaggle](https,Data Scientist (Kaggle),2024-07-23,July,Tuesday,2024-07-23,2024-07-24
132,🎬 Object-Oriented Programming in Python with Movie Subscription System 🎬,OOP,2024-07-24,July,Wednesday,2024-07-24,2024-07-25
133,🤖 Implementing a Simple Neural Network in Python with Backpropagation 🤖,Data Scientist (Kaggle),2024-07-25,July,Thursday,2024-07-25,2024-07-26
134,♟️ Building a Chess Game in Python with Object-Oriented Programming ♟️,OOP,2024-07-26,July,Friday,2024-07-26,2024-07-27
135,☕ Analyzing Worldwide Coffee Consumption Trends with Python ☕,Others,2024-07-27,July,Saturday,2024-07-27,2024-07-28
136,"Technical Test ""permute"" and ""permuteUnique"" [LeetCode](https",LeetCode,2024-07-28,July,Sunday,2024-07-28,2024-07-29
137,"Test Projects ""NotesManager""",Others,2024-07-29,July,Monday,2024-07-29,2024-07-30
138,🐾 Developing a Pet Store Management System in Python with Unit Testing 🐾,Others,2024-07-30,July,Tuesday,2024-07-30,2024-07-31
139,Top 20 Play Store App Reviews [Kaggle](https,Data Scientist (Kaggle),2024-07-31,July,Wednesday,2024-07-31,2024-08-01
140,🎮 Memory Game 🎮,Games,2024-08-01,August,Thursday,2024-08-01,2024-08-02
141,🧮 EMI Calculator with Tkinter and Matplotlib 📊,GUI,2024-08-02,August,Friday,2024-08-02,2024-08-03
142,"Technical Test ""rotate"" and ""groupAnagrams"" [LeetCode](https",LeetCode,2024-08-03,August,Saturday,2024-08-03,2024-08-04
143,🎵 Object-Oriented Programming in Python with Music Subscription System 🎵,OOP,2024-08-04,August,Sunday,2024-08-04,2024-08-05
144,🌀 Mandelbrot Set Visualization 🌀,Data Visualization,2024-08-05,August,Monday,2024-08-05,2024-08-06
145,🌳 Recursive Tree Animation 🌳,Recursion,2024-08-06,August,Tuesday,2024-08-06,2024-08-07
146,🏦 ATM Machine Simulation 🏦,Others,2024-08-07,August,Wednesday,2024-08-07,2024-08-08
147,"Technical Test ""myPow"" and ""NQueens"" [LeetCode](https",LeetCode,2024-08-08,August,Thursday,2024-08-08,2024-08-09
148,🎮 Video Game Subscription System in Python 🎮,Games,2024-08-09,August,Friday,2024-08-09,2024-08-10
149,🧩 Wordle Game with Flask and CSS 🖥️,GUI,2024-08-10,August,Saturday,2024-08-10,2024-08-11
150,🧠 Brain Tumor Dataset 🧠 Analysis [Kaggle](https,Data Scientist (Kaggle),2024-08-11,August,Sunday,2024-08-11,2024-08-12
151,🏗️ Tower of Babel - Recursive Algorithm 🏗️,Recursion,2024-08-12,August,Monday,2024-08-12,2024-08-13
152,"Technical Test ""totalNQueens"" and ""maxSubArray"" [LeetCode](https",LeetCode,2024-08-13,August,Tuesday,2024-08-13,2024-08-14
153,🎮 Rock Paper Scissor Game with Tkinter 🎮,GUI,2024-08-14,August,Wednesday,2024-08-14,2024-08-15
154,🏥 Medical Appointment System in Python 🩺,Others,2024-08-15,August,Thursday,2024-08-15,2024-08-16
155,🎬 Movie Ratings Analysis with PySpark and Seaborn 🎥 [Dataset](https,Data Scientist (Kaggle),2024-08-16,August,Friday,2024-08-16,2024-08-17
156,🗒️ To-Do List Application with Flet 📝,Others,2024-08-17,August,Saturday,2024-08-17,2024-08-18
157,"Technical Test ""spiralOrder"" and ""canJump"" [LeetCode](https",LeetCode,2024-08-18,August,Sunday,2024-08-18,2024-08-19
158,🖌️ Floodfill Image Color Changer with Tkinter 🖌️,GUI,2024-08-19,August,Monday,2024-08-19,2024-08-20
159,🏠 Real Estate Data Visualization with Folium 🗺️,Data Visualization,2024-08-20,August,Tuesday,2024-08-20,2024-08-21
160,Top 1000 Global Tech Companies Dataset (2024) [Kaggle](https,Data Scientist (Kaggle),2024-08-21,August,Wednesday,2024-08-21,2024-08-22
161,🏨 Hotel Reservation System in Python 🏢,Others,2024-08-22,August,Thursday,2024-08-22,2024-08-23
162,🌀 Gray Code Generator - Recursive Algorithm 🌀,Recursion,2024-08-23,August,Friday,2024-08-23,2024-08-24
163,"Technical Test ""merge_intervals"" and ""insert_intervals"" [LeetCode](https",LeetCode,2024-08-24,August,Saturday,2024-08-24,2024-08-25
164,🧮 BMI Calculator with Tkinter and Matplotlib 📊,GUI,2024-08-25,August,Sunday,2024-08-25,2024-08-26
165,🗂️ File Manager Pro with Python 🖥️,Others,2024-08-26,August,Monday,2024-08-26,2024-08-27
166,🥤 Soda Combinations Generator - Recursive Algorithm 🥤,Recursion,2024-08-27,August,Tuesday,2024-08-27,2024-08-28
167,"Technical Test ""lengthOfLastWord"" and ""generateMatrix"" [LeetCode](https",LeetCode,2024-08-28,August,Wednesday,2024-08-28,2024-08-29
168,Compound Interest Calculator in Python by [NeuralNine](https,Others,2024-08-29,August,Thursday,2024-08-29,2024-08-30
169,"🌱 Plant Management System for ""La Planta Feliz"" Nursery 🌿",Others,2024-08-30,August,Friday,2024-08-30,2024-08-31
170,🍕🍽️ Pizza Restaurant Sales [Kaggle](https,Data Scientist (Kaggle),2024-08-31,August,Saturday,2024-08-31,2024-09-01
171,🔍 Partitioning a List into Two Equal Subsets - Recursive Algorithm 🔍,Recursion,2024-09-01,September,Sunday,2024-09-01,2024-09-02
172,🏀 Basketball Player Statistics Generator with Python 📊,Others,2024-09-02,September,Monday,2024-09-02,2024-09-03
173,🎵 Discord Music Bot with Python and discord.py 🎶,Others,2024-09-03,September,Tuesday,2024-09-03,2024-09-04
174,"Technical Test ""getPermutation"" and ""rotateRight"" [LeetCode](https",LeetCode,2024-09-04,September,Wednesday,2024-09-04,2024-09-05
175,Build Your Own News Hub in Python - RSS Feed Aggregator by [NeuralNine](https,Others,2024-09-05,September,Thursday,2024-09-05,2024-09-06
176,🔺 Maximum Sum Path in a Triangle - Recursive Algorithm 🔺,Recursion,2024-09-06,September,Friday,2024-09-06,2024-09-07
177,📂 File System Management in Python 🖥️,Others,2024-09-07,September,Saturday,2024-09-07,2024-09-08
178,🛒📊 Customer Purchasing Behaviors [Kaggle](https,Data Scientist (Kaggle),2024-09-08,September,Sunday,2024-09-08,2024-09-09
179,Movie Recommendation App with Streamlit,Data Scientist (Kaggle),2024-09-09,September,Monday,2024-09-09,2024-09-10
180,"Technical Test ""uniquePaths"" and ""uniquePathsWithObstacles"" [LeetCode](https",LeetCode,2024-09-10,September,Tuesday,2024-09-10,2024-09-11
181,🏀 Basketball Team Generator and Visualizer with Python 📊,Others,2024-09-11,September,Wednesday,2024-09-11,2024-09-12
182,🍽️ Restaurant Management System in Python 🍴,Others,2024-09-12,September,Thursday,2024-09-12,2024-09-13
183,🌊 Crossing the River Problem - Recursive Solution 🌊,Recursion,2024-09-13,September,Friday,2024-09-13,2024-09-14
184,"Technical Test ""minPathSum"" and ""isNumber"" [LeetCode](https",LeetCode,2024-09-14,September,Saturday,2024-09-14,2024-09-15
185,Estimating Pi with Monte Carlo Method,Others,2024-09-15,September,Sunday,2024-09-15,2024-09-16
186,BMI Calculator in Python - Flask Application,GUI,2024-09-16,September,Monday,2024-09-16,2024-09-17
187,🎲 Lottery Simulator in Python 🎯,Others,2024-09-17,September,Tuesday,2024-09-17,2024-09-18
188,"Technical Test ""addBinary"" and ""plusOne"" [LeetCode](https",LeetCode,2024-09-18,September,Wednesday,2024-09-18,2024-09-19
189,🔍 Longest Common Subsequence (LCS),Others,2024-09-19,September,Thursday,2024-09-19,2024-09-20
190,🧠 MNIST Neural Network with Hyperparameter Tuning in Python 🤖,Data Scientist (Kaggle),2024-09-20,September,Friday,2024-09-20,2024-09-21
191,🚗 Vehicle Management System in Python 🚙,Others,2024-09-21,September,Saturday,2024-09-21,2024-09-22
192,💤💪 Health and Sleep Statistics [Kaggle](https,Data Scientist (Kaggle),2024-09-22,September,Sunday,2024-09-22,2024-09-23
193,🔍 Anagram Finder in Python 🧩,Others,2024-09-23,September,Monday,2024-09-23,2024-09-24
194,"Technical Test ""fullJustify"" and ""mySqrt"" [LeetCode](https",LeetCode,2024-09-24,September,Tuesday,2024-09-24,2024-09-25
195,📊 Final Exam Score Calculator in Python 🎓,Others,2024-09-25,September,Wednesday,2024-09-25,2024-09-26
196,🧩 Sudoku Solver in Python 🔢,Others,2024-09-26,September,Thursday,2024-09-26,2024-09-27
197,🏀 Three-Point Shot Success Calculator in Flask 🎯,GUI,2024-09-27,September,Friday,2024-09-27,2024-09-28
198,🐾 Cats Dataset [Kaggle](https,Data Scientist (Kaggle),2024-09-28,September,Saturday,2024-09-28,2024-09-29
199,📚 Book Subscription System in Python 📖,Others,2024-09-29,September,Sunday,2024-09-29,2024-09-30
200,"Technical Test ""climbStairs"" and ""simplifyPath"" [LeetCode](https",LeetCode,2024-09-30,September,Monday,2024-09-30,2024-10-01
201,🌊 Count Islands in a Grid Using Recursion 🏝️,Recursion,2024-10-01,October,Tuesday,2024-10-01,2024-10-02
202,🃏 Flashcard Creator with Tkinter 🎓,GUI,2024-10-02,October,Wednesday,2024-10-02,2024-10-03
203,♟️ FEN Notation Converter for Chess in Python ♟️,Others,2024-10-03,October,Thursday,2024-10-03,2024-10-04
204,🚗🔋 Electric Vehicle Charging Patterns Dataset [Kaggle](https,Data Scientist (Kaggle),2024-10-04,October,Friday,2024-10-04,2024-10-05
205,📚 Lesson Subscription and Management System in Python 🎓,Others,2024-10-05,October,Saturday,2024-10-05,2024-10-06
206,"Technical Test ""minDistance"" and ""setZeroes"" [LeetCode](https",LeetCode,2024-10-06,October,Sunday,2024-10-06,2024-10-07
207,🎨 Painting Problem in Python 🌈,Others,2024-10-07,October,Monday,2024-10-07,2024-10-08
208,♟️ Chess Move Validator in Python ♟️,Others,2024-10-08,October,Tuesday,2024-10-08,2024-10-09
209,📱 Cellphone Inventory Management System in Python 📊,Others,2024-10-09,October,Wednesday,2024-10-09,2024-10-10
210,"Technical Test ""searchMatrix"" and ""sortColors"" [LeetCode](https",LeetCode,2024-10-10,October,Thursday,2024-10-10,2024-10-11
211,🧩 Tiling Problem Solver in Python 🎲,Others,2024-10-11,October,Friday,2024-10-11,2024-10-12
212,🎳 Bowling Scoreboard App in Python 🎯,Others,2024-10-12,October,Saturday,2024-10-12,2024-10-13
213,🛤️ Self-Avoiding Walk in Python 🚶‍♂️,Others,2024-10-13,October,Sunday,2024-10-13,2024-10-14
214,"Technical Test ""minWindow"" and ""combine"" [LeetCode](https",LeetCode,2024-10-14,October,Monday,2024-10-14,2024-10-15
215,🎳 Console-Based Bowling Game in Python 🕹️,Games,2024-10-15,October,Tuesday,2024-10-15,2024-10-16
216,📊 Leetcode Questions Dataset Analysis [Kaggle](https,LeetCode,2024-10-16,October,Wednesday,2024-10-16,2024-10-17
217,🖼️ Art Store Management System in Python 🎨,Others,2024-10-17,October,Thursday,2024-10-17,2024-10-18
218,"Technical Test ""Subsets"" and ""WordSearch"" [LeetCode](https",LeetCode,2024-10-18,October,Friday,2024-10-18,2024-10-19
219,🎨 Tkinter Color Picker,GUI,2024-10-19,October,Saturday,2024-10-19,2024-10-20
220,💰 Tip Calculator with Tkinter,GUI,2024-10-20,October,Sunday,2024-10-20,2024-10-21
221,🌍 Choropleth Map Generator with Flask 🗺️,GUI,2024-10-21,October,Monday,2024-10-21,2024-10-22
222,💼 LevelUp Jobs - MVC Python Application 🖥️,Others,2024-10-22,October,Tuesday,2024-10-22,2024-10-23
223,"Technical Test ""removeDuplicatesII"" and ""searchII"" [LeetCode](https",LeetCode,2024-10-23,October,Wednesday,2024-10-23,2024-10-24
224,💵 Recursive Investment Growth Calculator in Python 📈,Recursion,2024-10-24,October,Thursday,2024-10-24,2024-10-25
225,🌳 Company Organizational Structure Tree in Python 📊,Others,2024-10-25,October,Friday,2024-10-25,2024-10-26
226,📱 Mobile Device Usage and User Behavior Dataset 📱 [Kaggle](https,Data Scientist (Kaggle),2024-10-26,October,Saturday,2024-10-26,2024-10-27
227,🍏 Food Inventory Management System in Python 🥦,Others,2024-10-27,October,Sunday,2024-10-27,2024-10-28
228,"Technical Test ""deleteDuplicates"" and ""deleteDuplicatesll"" [LeetCode](https",LeetCode,2024-10-28,October,Monday,2024-10-28,2024-10-29
229,⏳ Recursive Countdown Timer in Python ⏲️,Recursion,2024-10-29,October,Tuesday,2024-10-29,2024-10-30
230,🎃 Jack-o'-Lantern in Python with Turtle Graphics 🎨,Others,2024-10-30,October,Wednesday,2024-10-30,2024-10-31
231,🔐 Password Manager in Python 🛡️,Others,2024-10-31,October,Thursday,2024-10-31,2024-11-01
232,🎮 Pong Game in Python with Kivy 🕹️,Games,2024-11-01,November,Friday,2024-11-01,2024-11-02
233,🍬 Candy Inventory Management System in Python 🍭,Others,2024-11-02,November,Saturday,2024-11-02,2024-11-03
234,"Technical Test ""largestRectangleArea"" and ""maximalRectangle"" [LeetCode](https",LeetCode,2024-11-03,November,Sunday,2024-11-03,2024-11-04
235,🏠 Rent Houses Management System in Python 🏡,Others,2024-11-04,November,Monday,2024-11-04,2024-11-05
236,🥗 Total Daily Energy Expenditure (TDEE) Calculator in Python ⚖️,Others,2024-11-05,November,Tuesday,2024-11-05,2024-11-06
237,📝 Word Counter Application in Python 🖥️,Others,2024-11-06,November,Wednesday,2024-11-06,2024-11-07
238,📚 Data Structure Management System in Python 📊,Others,2024-11-07,November,Thursday,2024-11-07,2024-11-08
239,🏀 Basketball Team Manager in Python 🏆,Others,2024-11-08,November,Friday,2024-11-08,2024-11-09
240,"Technical Test ""partitionList"" and ""isScramble"" [LeetCode](https",LeetCode,2024-11-09,November,Saturday,2024-11-09,2024-11-10
241,📈 Fibonacci Sequence Calculator in Python 🔢,Others,2024-11-10,November,Sunday,2024-11-10,2024-11-11
242,♟️ Simple Chess Game in Python ♟️,Games,2024-11-11,November,Monday,2024-11-11,2024-11-12
243,🧴 Lotion Management System in Python 🌿,Others,2024-11-12,November,Tuesday,2024-11-12,2024-11-13
244,Guava Fruit Disease Dataset [Kaggle](https,Data Scientist (Kaggle),2024-11-13,November,Wednesday,2024-11-13,2024-11-14
